TRN_DATE            ,AMOUNT              ,CURRENCY            ,ORG_AMT             ,ORG_CURR            ,EXG_RATE            ,PMT_TYPE            ,PMT_DIR             ,MSG_TYPE            ,ORD_CUS_ID          ,ORD_CUS_NM                                                                                                                                                                                              ,ORD_CUS_ADD                                                                                                                                                                                             ,ORD_CUS_JUR                        ,ORD_BK_ACC_NUM                          ,ORD_BK_BIC                         ,ORD_BK_NM                                                                                                                                                                                               ,ORD_BK_ADD                         ,ORD_BK_JUR                         ,SND_BK_ACC_NUM                          ,SND_BK_BIC                         ,SND_BK_NM                                                                                                                                                                                               ,SND_BK_ADD                                                                                                                                                                                              ,SND_BK_JUR                         ,REC_BK_ACC_NUM                          ,REC_BK_BIC                         ,REC_BK_NM                                                                                                                                                                                               ,REC_BK_ADD                                                                                                                                                                                              ,REC_BK_JUR                         ,ACC_INS_ACC_NUM                         ,ACC_INS_BIC                        ,ACC_INS_NM                                                                                                                                                                                              ,ACC_INS_ADD                                                                                                                                                                                             ,ACC_INS_JUR                        ,BEN_INS_BIC                        ,BEN_INS_NM                                                                                                                                                                                              ,BEN_INS_ADD                                                                                                                                                                                             ,BEN_INS_JUR                        ,BEN_CUS_ACCT                                                                                                                                                                                              ,BEN_CUS_ADD                                                                                                                                                                                             ,BEN_CUS_JUR                        ,INT_BK_ACC_NUM                     ,INT_BK_BIC                              ,INT_BK_NM                                                                                                                                                                                               ,INT_BK_ADD                                                                                                                                                                                              ,INT_BK_JUR                         ,SEN_COR_ACC_NUM                    ,SEN_COR_BIC                             ,SEN_COR_NM                                                                                                                                                                                              ,SEN_COR_ADD                                                                                                                                                                                             ,SEN_COR_JUR                        ,REC_COR_ACC_NUM                    ,REC_COR_BIC                             ,REC_COR_NM                                                                                                                                                                                              ,REC_COR_ADD                                                                                                                                                                                             ,REC_COR_JUR                        ,THD_REI_ACC_NUM                    ,THD_REI_BIC                             ,THD_REI_NM                                                                                                                                                                                              ,THD_REI_ADD                                                                                                                                                                                             ,THD_REI_JUR                        ,SNDING_INS_ACC_NUM                 ,SNDING_INS_BIC                          ,SNDING_INS_NM                                                                                                                                                                                           ,SNDING_INS_ADD                                                                                                                                                                                          ,SNDING_INS_JUR                     ,COV_BEN_CUS_ID                          ,COV_BEN_CUS_NM                                                                                                                                                                                          ,COV_BEN_CUS_ADD                                                                                                                                                                                         ,COV_BEN_CUS_JUR                    ,COV_BEN_INS_ACC_NUM                ,COV_BEN_INS_BIC                         ,COV_BEN_INS_NM                                                                                                                                                                                          ,COV_BEN_INS_ADD                                                                                                                                                                                         ,COV_BEN_INS_JUR                    ,COV_INT_BK_ACC_NUM                 ,COV_INT_BK_BIC                          ,COV_INT_BK_NM                                                                                                                                                                                           ,COV_INT_BK_ADD                                                                                                                                                                                          ,COV_INT_BK_JUR                     ,COV_ACC_INS_ACC_NUM                ,COV_ACC_INS_BIC                         ,COV_ACC_INS_NM                                                                                                                                                                                          ,COV_ACC_INS_ADD                                                                                                                                                                                         ,COV_ACC_INS_JUR                    ,COV_ORD_CUS_ID                          ,COV_ORD_CUS_NM                                                                                                                                                                                          ,COV_ORD_CUS_ADD                                                                                                                                                                                         ,COV_ORD_CUS_JUR                    ,COV_ORD_BK_ACC_NUM                 ,COV_ORD_BK_BIC                          ,COV_ORD_BK_NM                                                                                                                                                                                           ,COV_ORD_BK_ADD                                                                                                                                                                                          ,COV_ORD_BK_JUR                     ,COV_REMIT_INFO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,COV_SEN_REC_INFO
9/4/2018,9066500,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/206030300150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/4/2018,1001796.39,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/6/2018,5009300,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,FCBKHKHH,,,HKG,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/13/2018,19036485.28,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011523461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/17/2018,48095146.67,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/17/2018,40079288.89,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/17/2018,18034565,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/17/2018,11021217.78,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCDHKHH,,,HKG,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10/22/2018,45200812.5,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,mrlrus33,,,USA,ABCTTWTP,,,TWN,/0011011988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9/17/2018,21040693.33,USD,,,,SW,OUT,MT202,,,,, /206030300228,mrlrus33,,,USA,,MRLRUS4C,,,USA,,mrlrus33,,,USA,,ojljus33,,,USA,ABCDHKHH,,,HKG,/120162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
